ID_match,ID,Seg_ID,Seg_ID_match
18,93,I1_2_20_3,134700_2_20_1
19,89,I1_2_170_1,136800_2_170_1
19,110,I3_2_170_4,136800_2_170_1
19,150,NA_174_2_170_1,136800_2_170_1
20,21,170044_2_170_1,170023_2_170_1
20,110,I3_2_170_4,170023_2_170_1
21,20,170023_2_170_1,170044_2_170_1
21,89,I1_2_170_1,170044_2_170_1
21,110,I3_2_170_4,170044_2_170_1
21,150,NA_174_2_170_1,170044_2_170_1
22,23,174501_2_290_1,174500_2_290_1
22,24,174502_2_290_1,174500_2_290_1
22,25,174503_2_290_1,174500_2_290_1
22,111,I3_2_290_1,174500_2_290_1
23,22,174500_2_290_1,174501_2_290_1
23,24,174502_2_290_1,174501_2_290_1
23,25,174503_2_290_1,174501_2_290_1
23,111,I3_2_290_1,174501_2_290_1
24,22,174500_2_290_1,174502_2_290_1
24,23,174501_2_290_1,174502_2_290_1
24,25,174503_2_290_1,174502_2_290_1
24,111,I3_2_290_1,174502_2_290_1
25,22,174500_2_290_1,174503_2_290_1
25,23,174501_2_290_1,174503_2_290_1
25,24,174502_2_290_1,174503_2_290_1
25,111,I3_2_290_1,174503_2_290_1
26,28,175900_2_90_1,175700_2_90_1
26,106,I2_2_90_2,175700_2_90_1
26,115,I3_2_90_1,175700_2_90_1
26,167,S2_2_90_1,175700_2_90_1
27,28,175900_2_90_1,175800_2_90_1
27,29,177200_2_90_1,175800_2_90_1
27,115,I3_2_90_1,175800_2_90_1
28,26,175700_2_90_1,175900_2_90_1
28,27,175800_2_90_1,175900_2_90_1
28,29,177200_2_90_1,175900_2_90_1
28,115,I3_2_90_1,175900_2_90_1
29,27,175800_2_90_1,177200_2_90_1
29,28,175900_2_90_1,177200_2_90_1
29,167,S2_2_90_1,177200_2_90_1
30,31,190501_2_261_1,190500_2_261_1
30,32,190525_2_261_1,190500_2_261_1
30,171,S4_2_261_1,190500_2_261_1
31,30,190500_2_261_1,190501_2_261_1
31,32,190525_2_261_1,190501_2_261_1
31,171,S4_2_261_1,190501_2_261_1
32,30,190500_2_261_1,190525_2_261_1
32,31,190501_2_261_1,190525_2_261_1
32,171,S4_2_261_1,190525_2_261_1
33,49,298150_2_100_1,2021005X000_2_100_1
34,47,298000_2_100_1,2021020X000_2_100_1
34,48,298006_2_100_1,2021020X000_2_100_1
34,49,298150_2_100_1,2021020X000_2_100_1
35,36,2041007X000_2_230_1,2041002X000_2_230_1
35,37,2041010X000_2_230_1,2041002X000_2_230_1
35,51,299535_2_231_1,2041002X000_2_230_1
36,35,2041002X000_2_230_1,2041007X000_2_230_1
36,37,2041010X000_2_230_1,2041007X000_2_230_1
36,51,299535_2_231_1,2041007X000_2_230_1
37,35,2041002X000_2_230_1,2041010X000_2_230_1
37,36,2041007X000_2_230_1,2041010X000_2_230_1
37,51,299535_2_231_1,2041010X000_2_230_1
38,171,S4_2_261_1,2261010X000_2_261_1
39,11,134341_2_20_1,2281133X000_2_20_1
39,12,134342_2_20_1,2281133X000_2_20_1
39,14,134350_2_20_1,2281133X000_2_20_1
39,16,134431_2_20_1,2281133X000_2_20_1
39,91,I1_2_20_1,2281133X000_2_20_1
39,92,I1_2_20_2,2281133X000_2_20_1
40,4,133500_2_20_1,2281216I000_2_20_1
40,9,134300_2_20_1,2281216I000_2_20_1
40,41,2281251X000_2_20_1,2281216I000_2_20_1
40,93,I1_2_20_3,2281216I000_2_20_1
41,4,133500_2_20_1,2281251X000_2_20_1
41,9,134300_2_20_1,2281251X000_2_20_1
41,40,2281216I000_2_20_1,2281251X000_2_20_1
42,53,4041051X000_2_130_1,291400_2_130_1
42,54,4041057X000_2_130_1,291400_2_130_1
42,55,4041061X000_2_130_1,291400_2_130_1
42,57,4041071X000_2_130_1,291400_2_130_1
42,175,S7_2_130_1,291400_2_130_1
43,44,294020_2_280_1,294000_2_280_1
43,63,4281001X000_2_195_1,294000_2_280_1
43,99,I1_2_280_1,294000_2_280_1
44,43,294000_2_280_1,294020_2_280_1
44,64,4281007X000_2_195_1,294020_2_280_1
44,99,I1_2_280_1,294020_2_280_1
45,46,296011_2_110_1,296000_2_110_1
45,71,4441014X000_2_110_1,296000_2_110_1
45,72,4441023X000_2_110_1,296000_2_110_1
45,73,4441029X000_2_110_1,296000_2_110_1
45,74,4441030X000_2_110_1,296000_2_110_1
45,75,4441057X000_2_110_1,296000_2_110_1
