county,Baseline.coverage,Spillover.State.coverage,NEVI.coverage,AFC.coverage,NEVI Increase
02020,0.7688883280970075,0,0.5876036906202035,0.7633173797265245,0.175713689106321
02063,0.0073118019312869344,0,0.0073118019312869344,0.0073118019312869344,0
02066,0.2580479281779644,0,0.2580479281779644,0.2580479281779644,0
02068,0.7693660600136305,0,0.5083017301363659,0.7134093379382991,0.20510760780193316
02090,0.7404024607160149,0,0.23289734892518343,0.7180390621375574,0.485141713212374
02100,0.003277812603454894,0,0.003277812603454894,0.003277812603454894,0
02105,0.11913976709738323,0,0.11913976709738323,0.11913976709738323,0
02110,0.11973765517191104,0,0.11973765517191104,0.11973765517191104,0
02122,0.7187038212705624,0,0.11633641274394493,0.7894139913194925,0.6730775785755476
02130,0,0,0,0,0
02150,0,0,0,0,0
02170,0.815344779780889,0,0.5838005325138421,0.7594448739335126,0.17564434141967045
02195,0.0888092070668027,0,0.0888092070668027,0.0888092070668027,0
02198,0,0,0,0,0
02220,0,0,0,0,0
02230,0.003277812603454894,0,0.003277812603454894,0.003277812603454894,0
02240,0.012065594519455058,0,0.012065594519455058,0.012065594519455058,0
02275,0.09067942583732057,0,0.09067942583732057,0.09067942583732057,0
04019,NA,NA,NA,NA,NA
04023,NA,NA,NA,NA,NA
