"","Seg_ID","SIGN1","STFIPS","NEVI","Has_EV","No_Tesla","Traffic","Short_Road","LENGTH","ID","AFC"
"61","001-0-2013-5655_8_1_1","001-0-2013-5655",8,0,1,1,28000,TRUE,0.258381897899902,61,TRUE
"62","001-0-2013-5672_8_1_1","001-0-2013-5672",8,0,0,0,20000,TRUE,1.00471522466129,62,FALSE
"63","001-0-2013-5719_8_1_1","001-0-2013-5719",8,0,0,0,6500,TRUE,0.259507179530687,63,FALSE
"64","001-0-2013-5720_8_1_1","001-0-2013-5720",8,0,0,0,6500,TRUE,0.218498856626412,64,FALSE
"65","001-0-2013-5818_8_1_1","001-0-2013-5818",8,0,0,0,940,TRUE,0.334612831658104,65,TRUE
"66","001-0-2013-5914_8_1_1","001-0-2013-5914",8,0,0,0,7200,TRUE,0.994395569760315,66,FALSE
"67","001-0-2013-5946_8_1_1","001-0-2013-5946",8,1,1,1,36090.9090909091,TRUE,1.75459577215991,67,FALSE
"68","001-0-2013-6300_8_1_1","001-0-2013-6300",8,1,1,1,28500,TRUE,2.01929470407799,68,FALSE
"69","001-08-2-010_22_61_1","001-08-2-010",22,0,1,0,6350,TRUE,0.261508744115618,69,FALSE
"70","001-LN-9008  -000_21_1_1","001-LN-9008  -000",21,0,0,0,6491,FALSE,21.4831653418572,70,TRUE
"71","001BOI00_41_29_1","001BOI00",41,0,1,1,28400,TRUE,0.286205748355041,71,TRUE
"72","001KCI00_41_39_1","001KCI00",41,0,1,1,11450,TRUE,0.737019976305076,72,FALSE
"73","001OSI00_41_47_1","001OSI00",41,0,0,0,4400,TRUE,0.36856635673916,73,TRUE
"74","001OYI00_41_47_1","001OYI00",41,0,1,1,31950,TRUE,0.452096103847647,74,TRUE
"75","001PNI00_41_47_1","001PNI00",41,0,1,1,16800,TRUE,0.56740124913843,75,TRUE
"76","001RQI00_41_67_1","001RQI00",41,0,1,1,21300,TRUE,0.206084583992135,76,TRUE
"77","001WUI00_41_29_1","001WUI00",41,0,1,1,22666.6666666667,TRUE,0.510739530906883,77,TRUE
"78","0024B_23_5_1","0024B",23,0,1,1,17242,TRUE,0.189973215659915,78,TRUE
"79","0024X_23_5_1","0024X",23,0,1,1,11974,TRUE,0.353781637764337,79,FALSE
"80","0026S_23_17_1","0026S",23,0,1,1,1150,TRUE,0.0835600603997832,80,TRUE
"81","002B_8_1_1","002B",8,0,0,0,6000,TRUE,0.469672018044117,81,FALSE
"82","002HCI00_41_49_1","002HCI00",41,0,1,0,3000,TRUE,0.14475910767744,82,TRUE
"83","002IJI00_41_51_1","002IJI00",41,0,0,0,14100,TRUE,0.149409834314318,83,TRUE
"84","003-BG-9002  -000_21_5_1","003-BG-9002  -000",21,0,0,0,14780.3333333333,FALSE,13.1226800170187,84,TRUE
"85","00335AOH000_16_27_1","00335AOH000",16,0,0,0,210,TRUE,0.00201139165365966,85,FALSE
"86","004  20517 000000_17_7_1","004  20517 000000",17,0,0,0,14100,TRUE,3.92929521072759,86,FALSE
"87","004BMI00_41_17_1","004BMI00",41,0,1,1,15700,TRUE,0.143172819732649,87,TRUE
"88","004CDI00_41_17_1","004CDI00",41,0,1,1,18200,TRUE,0.18310349302507,88,TRUE
"89","004COKELSOi_53_15_1","004COKELSOi",53,1,1,1,5063.5,TRUE,0.196811144876373,89,TRUE
"90","004CXI00_41_17_1","004CXI00",41,0,0,0,6500,TRUE,0.0982652693697548,90,TRUE
"91","005-0-2013-0156_8_1_1","005-0-2013-0156",8,0,1,1,24000,TRUE,2.08443182850986,91,FALSE
"92","005-0-2013-0156_8_5_1","005-0-2013-0156",8,1,1,1,37200,TRUE,2.34890960867273,92,FALSE
"93","005-0-2013-0165_8_5_1","005-0-2013-0165",8,0,1,1,38400,TRUE,3.27226032389334,93,FALSE
"94","005-0-2013-0170_8_5_1","005-0-2013-0170",8,1,1,1,26000,TRUE,2.38024962399954,94,FALSE
"95","005-0-2013-0501_8_5_1","005-0-2013-0501",8,1,1,1,28666.6666666667,TRUE,5.59724463474878,95,FALSE
"96","005-0-2013-0609_8_1_1","005-0-2013-0609",8,1,1,1,26333.3333333333,TRUE,2.27691864511285,96,FALSE
"97","005-0-2013-0609_8_5_1","005-0-2013-0609",8,1,1,1,29000,TRUE,8.85450258290132,97,FALSE
"98","005-0-2013-0770_8_5_1","005-0-2013-0770",8,0,1,1,7800,TRUE,0.67452078222398,98,FALSE
"99","005-0-2013-1299_8_5_1","005-0-2013-1299",8,0,1,1,34666.6666666667,TRUE,3.11414775719844,99,FALSE
"100","005-0-2013-1431_8_5_1","005-0-2013-1431",8,1,1,1,39750,TRUE,5.29527083818429,100,FALSE
"101","005-0-2013-2036_8_5_1","005-0-2013-2036",8,1,1,1,34766.6666666667,TRUE,4.20273105387466,101,FALSE
"102","005-0-2013-2450_8_5_1","005-0-2013-2450",8,0,1,1,18800,TRUE,4.41928254226531,102,FALSE
"103","005-0-2013-2451_8_1_1","005-0-2013-2451",8,0,1,1,33333.3333333333,TRUE,1.93724728422786,103,FALSE
"104","005-0-2013-2451_8_5_1","005-0-2013-2451",8,0,1,1,26000,TRUE,1.00740817051378,104,FALSE
