county,Baseline coverage,NEVI.coverage,AFC.coverage
13157,0.1034900430696013,0.08145505405559372,0.9098992763089901
13159,0.11983183029346856,0.0816748749168522,0.9043135396422457
13161,0.3988451462384267,0.02890608627353216,0.9095253866079507
13163,0.13849933319372246,0.019463744188051108,0.9117669212968607
13165,0.36396969425490555,0.02150235501105571,0.9215227279788756
13167,0.3731520232335627,0.02021710949521804,0.9096482512534593
13169,0.13036320786044445,0.08897798727270338,0.9048205255746605
13171,0.1237418482057958,0.08970137110516961,0.90158399793897
13173,0.2867920352152734,0.029749466134394203,0.9159673388975148
13175,0.13781470099424703,0.09192321207702112,0.9052073770832707
13177,0.40344301666394305,0.023512159670242973,0.9030699211745945
13179,0.27105860380693336,0.04891890982924724,0.9193231045145552
13181,0.12541719273879806,0.082075404274972,0.9200438440223419
13183,0.26929233902278155,0.04859896264797419,0.9187146219659558
13185,0.2901417173115615,0.027397869121941313,0.916844150903349
13187,0.10228022404312367,0.07382979818821835,0.9091802363860084
13189,0.13041353846216813,0.017836872187359413,0.9177186064892926
13191,0.27927251027297817,0.04420184560508277,0.9177680323700406
13193,0.14148843936774042,0.09839085351985563,0.9024572036266922
13195,0.1043109261162266,0.08268131746071421,0.9117246961854143
13197,0.14167077575790404,0.023716002839969566,0.9011432906299772
13199,0.12474060498869355,0.08672290262874478,0.8999390192899968
13201,0.27269547428009067,0.016739076614328018,0.9077292861785508
13205,0.27650402703783,0.02081968229945301,0.9103942185648966
13207,0.12443601558258291,0.08487053995207465,0.8984290355535832
13209,0.3812384846003551,0.019833463064837492,0.9179785652776535
13211,0.11327289616113469,0.08114336141398655,0.9049974548642877
13213,0.11384533455836708,0.08364414400815541,0.9013731088103853
13215,0.14697413072186732,0.02593651711751466,0.8967334132424452
13217,0.11162537440090523,0.07938365265522357,0.9051113618481668
13219,0.10689002416128379,0.07635228502374238,0.9102210947487528
13221,0.12398741917892771,0.09009651356203997,0.9133849173324122
13223,0.13165570361614296,0.08362447142745835,0.8993868550530927
13225,0.13815844497908655,0.09539472076655732,0.8995522711451792
13227,0.1173316669065752,0.08207633174484316,0.9031427160321089
13229,0.2811372909191183,0.051838413193932766,0.9106527778116218
13231,0.12220173096544479,0.08936513278570403,0.9011313264426607
13233,0.15161682566671034,0.08803433385781548,0.8978514172825357
13235,0.14316368718338068,0.0982912779047519,0.9015785655939724
13237,0.13640991976726252,0.08990315942093881,0.9064205602174252
13239,0.15473258825995362,0.02427628528355842,0.9039587003645666
13241,0.09673196833398197,0.07361421116977389,0.9117504383448124
13243,0.019659052688002214,0.01595591941280255,0.8996002013668528
13245,0.29792981982205746,0.023906740805868226,0.9175552830503727
13247,0.110244312846123,0.07757830819777554,0.9042468084036122
13249,0.14107394721661595,0.10255502108553657,0.903436998289119
13251,0.25357146574517025,0.026180993452850347,0.9178190645803131
13253,0.28049967412888016,0.01673096880732634,0.9080224716061981
13255,0.11998091038767084,0.0852370939919579,0.9002458697744345
13257,0.09729245133398177,0.07501535042141005,0.9130540398582953
13259,0.1458552042779709,0.017275484835646046,0.9031821594155071
13261,0.14237570300903477,0.019618439113469156,0.9047717107856373
13263,0.1363597722461104,0.09851791123939917,0.8982819235153918
13265,0.1304948663231501,0.08305077324426619,0.9136885215923152
13267,0.2585719325234664,0.021952856520213542,0.9157994538530597
13269,0.14035398113121061,0.10102549543829989,0.8984401390860933
13271,0.38910949316102067,0.02318571577601495,0.9086159491140332
13273,0.1489573125909088,0.012131250758042823,0.8991884980844917
13275,0.2898951853578129,0.028618337807633794,0.9135448353325052
13277,0.41024302053254846,0.030376335530089043,0.9129198440089245
13279,0.25009217376858217,0.015338251156336738,0.9167828560232842
13281,0.09630009052649333,0.06922656237636204,0.907794213115252
13283,0.37242153445505816,0.019271668271665366,0.9128595953111404
13285,0.13422075102380454,0.09564090121478674,0.9016343664435751
13287,0.40176316814782786,0.024216406030486727,0.9088139074968784
13289,0.13353799557569868,0.08958411336148885,0.909244295921519
13291,0.09797986240985784,0.07024234870909384,0.9090664264994751
13293,0.12620784870082516,0.09237276519245463,0.9017700124388778
13295,0.11751332812732627,0.08514317718100117,0.8966775959908958
13297,0.10716830610506738,0.07619590038198812,0.9064250510143457
13299,0.2903022596132783,0.04994230682842388,0.9116563475582677
13301,0.13323578586383938,0.08458242617308871,0.9158176860402873
13303,0.14205026727631587,0.020485760885294538,0.9125923347831293
13305,0.2715337310845277,0.045080513671371905,0.9166896825816561
13307,0.14476379455181645,0.020966711982312848,0.9059698154286726
13309,0.3789778871471939,0.0224683385303249,0.9147769181248919
13311,0.09966322506234346,0.07898858660441796,0.9102583065210961
13313,0.11545963748193894,0.08454098349158805,0.9016376423765133
13315,0.39657322808763507,0.02365950208470272,0.9053768057732768
13317,0.12515281022159402,0.08176939318184086,0.9161912172266352
13319,0.13171076394638934,0.09065356792463776,0.9089912897641558
13321,0.4030811244042466,0.020856603373746768,0.9100709094399005
15001,0.22900306582120208,0.22900306582120208,0.22900306582120208
15003,0.4934396350813301,0.4934396350813301,0.4934396350813301
15005,0.048554233276265464,0.048554233276265464,0.048554233276265464
15007,0.05725076645530052,0.05725076645530052,0.05725076645530052
15009,0.048554233276265464,0.048554233276265464,0.048554233276265464
16001,0.02837999868405889,0.02837999868405889,0.9593887509239786
16003,0.009713543155398604,0.003983429358477383,0.9535924210038035
16005,0.3273235149337164,0.020973839884301085,0.9338558624421653
16007,0.33054318370149227,0.03685064803514004,0.9300422010212731
16009,0.6613726779874923,0.0477433169968404,0.9508665163134852
16011,0.020388122913005166,0.020388122913005166,0.9316943778855468
16013,0.034633041353163904,0.025976138585276077,0.9484539227662265
16015,0.03250981881674193,0.03250981881674193,0.951389774373356
16017,0.7048763043941988,0.052089216780841247,0.9439642672419464
16019,0.03026163534949253,0.02385651505486619,0.9305042564541707
16021,0.7170821280034511,0.012057104819133701,0.9513091284536072
16023,0.012725085589781374,0.012147357235059683,0.9390052175030427
16025,0.03220084376961968,0.024458302236600164,0.9531575137490712
16027,0.027903101339737866,0.027542630658556024,0.9485296512168945
16029,0.3400763181753976,0.02640727845007398,0.9442456498440137
16031,0.2832412213413581,0.028278301475373135,0.9457813416781483
16033,0.023719729379357582,0.016736464756173706,0.917995705663143
16035,0.011593612416432822,0.01019309010415213,0.949262744284858
16037,0.0010396549847057667,0.0010396549847057667,0.948199053796335
