county,Baseline.coverage,Spillover.State.coverage,NEVI.coverage,AFC.coverage,NEVI Increase
20047,0.00715625,0,0.00715625,0.835363401,0.828207151
29111,0.096875262,0.034960302,0.007146734,0.007146734,0
48319,0.47783404,0.095349315,0.007138906,0.843584219,0.836445313
5021,0.025239277,0.019388532,0.007138071,0.879801366,0.872663295
31091,0.01776986,0.001252426,0.007131448,0.809622089,0.802490641
55003,0.160314711,0.137052001,0.007111587,0.855387895,0.848276308
49019,0.40822159,0.271990975,0.007104468,0.941216313,0.934111845
48413,0.524332906,0.103626636,0.007101307,0.845212725,0.838111418
26031,0.318013932,0.161114547,0.007070763,0.897686852,0.890616089
26001,0.440691769,0.308352359,0.007042917,0.915351478,0.908308561
20179,0.008087911,0.002731226,0.007030438,0.831765894,0.824735456
31063,0.015020383,0.001293933,0.00702525,0.811352099,0.804326848
46023,0.007808375,9.65E-04,0.007003757,0.751753496,0.744749739
48107,0.007545343,0,0.006997607,0.869955336,0.862957729
19111,0.216901865,0.201798119,0.006994803,0.866855931,0.859861128
19007,0.254030476,0.222497897,0.006992682,0.860713491,0.853720809
48207,0.0077996,0,0.006983433,0.840881797,0.833898364
28043,0.009076658,4.33E-04,0.006980593,0.87689289,0.869912297
31175,0.01397251,9.83E-04,0.006941207,0.795921111,0.788979904
26019,0.275996684,0.138869052,0.006918288,0.887771808,0.88085352
21119,0.226991925,0.212215721,0.006908664,0.920477039,0.913568375
17001,0.113902523,0.081142785,0.006893859,0.006893859,0
5121,0.024275322,0.017260744,0.006854344,0.881399712,0.874545368
21025,0.074349296,0.059290326,0.006811564,0.910371487,0.903559922
48267,0.515697096,0.102679281,0.00680148,0.838287857,0.831486377
40025,0.00762063,0.006552589,0.006800738,0.893456824,0.886656086
28025,0.227833441,0.219826143,0.006789829,0.889892558,0.883102729
26101,0.272440671,0.137473623,0.006773579,0.8884185,0.88164492
48301,0.008450985,0.002613835,0.006765867,0.859985387,0.853219519
17067,0.229361745,0.126724444,0.006764534,0.868388461,0.861623926
37031,0.125602624,0.020027555,0.006738717,0.932757889,0.926019172
46005,0.007813352,8.05E-05,0.00672898,0.705743105,0.699014125
26069,0.473578788,0.351987567,0.006705938,0.91660252,0.909896582
8063,0.024775417,0.019407689,0.006703286,0.836610314,0.829907028
46037,0.251362663,0.245591561,0.006696222,0.74790085,0.741204628
30107,0.018360578,0,0.006695008,0.848722775,0.842027767
48451,0.011260168,0,0.00668218,0.00668218,0
31171,0.016577274,0.001188639,0.006677848,0.794767097,0.788089249
20109,0.007730143,0.0023978,0.006666119,0.85092648,0.844260361
19177,0.236171422,0.206582017,0.006636032,0.006636032,0
55037,0.007955995,0.004653788,0.006633691,0.882107181,0.87547349
29045,0.232514255,0.198360693,0.006629946,0.006629946,0
42105,0.663611189,0.571352997,0.006549651,0.952814564,0.946264913
31117,0.016710344,0.001198181,0.006532702,0.809466505,0.802933803
20201,0.113317541,0.079961502,0.006521687,0.825689371,0.819167684
48507,0.006516184,0,0.006516184,0.842431881,0.835915696
29199,0.236343232,0.201242409,0.006498531,0.006498531,0
21153,0.074618427,0.058928057,0.006497918,0.918127537,0.911629619
48433,0.008516357,0,0.006487859,0.842512913,0.836025054
49013,0.416902671,0.272397373,0.006482364,0.950112282,0.943629918
49021,0.170624345,0.110316671,0.006458305,0.981231538,0.974773233
31009,0.015882002,0.001132039,0.006453962,0.789406471,0.782952509
29091,0.014309295,0.003660552,0.006446328,0.866668749,0.86022242
26071,0.008623318,0.003579185,0.006434758,0.882010781,0.875576023
20063,0.007438666,0.002263649,0.006434172,0.838242329,0.831808157
16085,0.035178242,0,0.006410365,0.956090352,0.949679987
29079,0.065255149,0.025020764,0.006381044,0.850121004,0.84373996
31113,0.015838201,0.001138374,0.0063574,0.799717981,0.793360581
31041,0.01513512,0.00108131,0.006336934,0.79983206,0.793495126
