county,Baseline.coverage,Spillover.State.coverage,NEVI.coverage,AFC.coverage,NEVI Increase
19039,0.020340940723883462,0.0016858950470385714,0.020340940723883462,0.8542345170632555,0.833893576339372
19041,0.010051998947510014,0.003679842642887518,0.010051998947510014,0.8244362332292686,0.8143842342817587
19043,0.017559529912343223,0.007862814370354493,0.013558124571971433,0.8679039879323068,0.8543458633603354
19045,0.029434399066754907,0.020518855188213354,0.029434399066754907,0.8770616193293903,0.8476272202626354
19047,0.02432926240449257,0.009070945432023922,0.02432926240449257,0.8249821291558518,0.8006528667513593
19049,0.02519157915438912,0,0.02519157915438912,0.8285111103464645,0.8033195311920754
19051,0.00520948927139543,0.0010853431791820309,0.00520948927139543,0.00520948927139543,0
19053,0.009426178093144034,0.003948654900433944,0.009426178093144034,0.8505591659780269,0.8411329878848829
19055,0.027584298956410246,0.008302629949899306,0.017633348266944935,0.858472123383279,0.8408387751163341
19057,0.013936179021495257,0.007095786870310469,0.011335011960013481,0.86853733569084,0.8572023237308265
19059,0.010434254615894646,0.006576114758075845,0.010434254615894646,0.8213014900980342,0.8108672354821396
19061,0.029015811412318987,0.01695387286326868,0.019517174970370144,0.8732695077850926,0.8537523328147225
19063,0.010293256468023745,0.006657165802870929,0.010293256468023745,0.8190770590009208,0.8087838025328971
19065,0.014278471152851534,0.003436411846670594,0.014278471152851534,0.8618914324307397,0.8476129612778882
19067,0.021379011750728757,0.005933985690048861,0.017034461130569535,0.8377228314056475,0.820688370275078
19069,0.017988439210121072,0.0010134236995122785,0.017988439210121072,0.8330794249048052,0.8150909856946842
19071,0.024926779624909946,0.017514510234698903,0.024926779624909946,0.8248653522937438,0.7999385726688338
19073,0.026582551066364115,0,0.026582551066364115,0.8215951995176025,0.7950126484512384
19075,0.026888065602169223,0,0.026762274200947726,0.861409863648069,0.8346475894471214
19077,0.032693001531771765,0.006867395411661145,0.032693001531771765,0.8254053070436482,0.7927123055118764
19079,0.02326151942582815,1.0118037410311179e-4,0.02326151942582815,0.8233790597285744,0.8001175403027463
19081,0.016307514843030446,0.004475076121385582,0.016307514843030446,0.8335531252762051,0.8172456104331747
19083,0.029458191404636597,0,0.02691457695915266,0.834944957289873,0.8080303803307203
19085,0.028384034152155495,0.013570985327453952,0.028384034152155495,0.8237098856363647,0.7953258514842092
19087,0.017592337337069948,0.005678346271911754,0.01411973099300199,0.8676485328292399,0.8535288018362379
19089,0.012832440219429158,0.006993085842496874,0.012832440219429158,0.845660648972069,0.8328282087526399
19091,0.015355336317928438,1.088863783290667e-4,0.015355336317928438,0.8305634576281047,0.8152081213101763
19093,0.015553422031960473,0.003499034568934215,0.015553422031960473,0.8231427285145674,0.807589306482607
19095,0.026649696132974486,0.0033094236226618575,0.022489825929846517,0.8759758662093103,0.8534860402794638
19097,0.03213229672077175,0.01855492202921456,0.030293827848640646,0.8764762895824493,0.8461824617338086
19099,0.02374129542255825,0,0.02374129542255825,0.8712768714617873,0.8475355760392291
19101,0.01942058132410253,0.0046784764945219754,0.01433327926096794,0.8678318223929065,0.8534985431319385
19103,0.02245232690467312,0.0034099786695365,0.02245232690467312,0.8760515352861786,0.8535992083815055
19105,0.024715050049253437,0.005651889919462989,0.024715050049253437,0.8793077213866184,0.8545926713373649
19107,0.025014731203614516,0.003496666340845367,0.020938581943753563,0.8725879196148945,0.8516493376711409
19109,0.015902158730076145,0.006297192058958002,0.015902158730076145,0.8371583283038787,0.8212561695738025
19111,0.008416876542604835,0.005610210006243752,0.008416876542604835,0.8665189505503204,0.8581020740077155
19113,0.025074544687492782,0.0038001477177722932,0.025074544687492782,0.876373321818507,0.8512987771310142
19115,0.02125493478356935,0.0054835558383072225,0.0211577622719942,0.8709173216570547,0.8497595593850605
19117,0.01874687074179869,0.0017707241436642565,0.01874687074179869,0.8613027055897091,0.8425558348479104
19119,0.017298339719103606,0.01236504177601915,0.017298339719103606,0.8111911691725748,0.7938928294534713
19121,0.02400858139460011,9.33178442822543e-4,0.02400858139460011,0.8290955967201431,0.8050870153255429
19123,0.01862915947392388,1.7740289086825173e-4,0.01862915947392388,0.8699240843107953,0.8512949248368714
19125,0.0222054027819467,2.662760615282952e-4,0.0222054027819467,0.8660485676320988,0.8438431648501521
19127,0.03055265211986596,0,0.02865495152875344,0.8398519357945132,0.8111969842657598
