"","GEOID","STATEFP","STATENS","AFFGEOID","STUSPS","NAME","LSAD","ALAND","AWATER","Baseline Coverage","NEVI Coverage","AFC Coverage","State Spillover","NEVI Increase"
"1","01","01","01779775","0400000US01","AL","Alabama","00",131174048583,4593327154,0.136165037377542,0.0208969052292802,0.895728098911989,0.109641930105113,0.874831193682708
"2","02","02","01785533","0400000US02","AK","Alaska","00",1478839695958,245481577452,0.421014154013985,0.356305490721303,0.663734540576962,0,0.307429049855659
"3","04","04","01779777","0400000US04","AZ","Arizona","00",294198551143,1027337603,0.133243226616878,0.0997167993232362,0.980443594805254,0.0502703748591307,0.880726795482018
"4","05","05","00068085","0400000US05","AR","Arkansas","00",134768872727,2962859592,0.0381487559640742,0.0116154622318766,0.796308130580595,0.0232869632353516,0.784692668348719
"5","06","06","01779778","0400000US06","CA","California","00",403503931312,20463871877,0.83948316111428,0.711761818149486,0.988063578399561,0.120272847845557,0.276301760250075
"6","08","08","01779779","0400000US08","CO","Colorado","00",268422891711,1181621593,0.24076670774988,0.126184303069473,0.881336529558307,0.0927727495057213,0.755152226488835
"7","09","09","01779780","0400000US09","CT","Connecticut","00",12542497068,1815617571,0.769237609470557,0.271224466148777,0.954763296622517,0.732529705916622,0.68353883047374
"8","10","10","01779781","0400000US10","DE","Delaware","00",5045925646,1399985648,0.621492079079762,0.240158163902039,0.943648628173823,0.611242885749387,0.703490464271784
"9","11","11","01702382","0400000US11","DC","District of Columbia","00",158340391,18687198,0.583719506463827,0.0893798503751727,0.94108736844505,0.583719506463827,0.851707518069877
"10","12","12","00294478","0400000US12","FL","Florida","00",138949136250,31361101223,0.342652187041403,0.114642581471829,0.925062003055412,0.029057142537247,0.810419421583583
"11","13","13","01705317","0400000US13","GA","Georgia","00",149482048342,4422936154,0.173674090799335,0.0519067912393568,0.912489493192236,0.106384409685071,0.86058270195288
"12","15","15","01779782","0400000US15","HI","Hawaii","00",16633990195,11777809026,0.622543646509456,0.622543646509456,0.622543646509456,0,0
"13","16","16","01779783","0400000US16","ID","Idaho","00",214049787659,2391722557,0.080249524114323,0.0198791634154279,0.955547619646346,0.0644282445813741,0.935668456230918
"14","17","17","01779784","0400000US17","IL","Illinois","00",143780567633,6214824948,0.191372529999782,0.0608230360092756,0.873529483424705,0.127941612881627,0.812706447415429
"15","18","18","00448508","0400000US18","IN","Indiana","00",92789302676,1538002829,0.188104899515553,0.0232992486391643,0.898607480740682,0.17169829772517,0.875308232101517
"16","19","19","01779785","0400000US19","IA","Iowa","00",144661267977,1084180812,0.146359347384446,0.0158972321244149,0.8581865888445,0.125290469626016,0.842289356720085
"17","20","20","00481813","0400000US20","KS","Kansas","00",211755344060,1344141205,0.0479336603486447,0.0217717594019798,0.836461966766066,0.0312880855381982,0.814690207364086
"18","21","21","01779786","0400000US21","KY","Kentucky","00",102279490672,2375337755,0.0768606535107799,0.0157438275563301,0.903456461420234,0.0593081215460397,0.887712633863904
"19","22","22","01629543","0400000US22","LA","Louisiana","00",111897594374,23753621895,0.0617246427840006,0.0217643537625708,0.863895406612885,0.0387662902922558,0.842131052850314
"20","23","23","01779787","0400000US23","ME","Maine","00",79887426037,11746549764,0.902894604015745,0.0326596781220542,0.976652930906066,0.88992320223513,0.943993252784012
"21","24","24","01714934","0400000US24","MD","Maryland","00",25151100280,6979966958,0.556895406717827,0.119023249367694,0.943651717234752,0.501168401063822,0.824628467867058
"22","25","25","00606926","0400000US25","MA","Massachusetts","00",20205125364,7129925486,0.845997613724769,0.180546031513139,0.95285324066763,0.754640826886233,0.772307209154491
