"","GEOID","STATEFP","STATENS","AFFGEOID","STUSPS","NAME","LSAD","ALAND","AWATER","Baseline Coverage","NEVI Coverage","AFC Coverage","State Spillover","NEVI Increase"
"23","26","26","01779789","0400000US26","MI","Michigan","00",146600952990,103885855702,0.43425550926909,0.037408670590762,0.90848851453293,0.367772322639329,0.871079843942168
"24","27","27","00662849","0400000US27","MN","Minnesota","00",206228939448,18945217189,0.118951458657418,0.0572627126012795,0.854238267498717,0.0207376555525428,0.796975554897438
"25","28","28","01779790","0400000US28","MS","Mississippi","00",121533519481,3926919758,0.0537944634390983,0.013584102579109,0.872659158989205,0.0441187434382955,0.859075056410096
"26","29","29","01779791","0400000US29","MO","Missouri","00",178050802184,2489425460,0.0492805492860133,0.0233845794063713,0.867131105599672,0.0194513133343174,0.843746526193301
"27","30","30","00767982","0400000US30","MT","Montana","00",376962738765,3869208832,0.0243128891556265,0.0128383917303496,0.909734660225782,0.00881955438525417,0.896896268495433
"28","31","31","01779792","0400000US31","NE","Nebraska","00",198956658395,1371829134,0.0331623767122615,0.0204312282583094,0.823539218455808,0.0121897137782266,0.803107990197499
"29","32","32","01779793","0400000US32","NV","Nevada","00",284329506470,2047206072,0.723917967400716,0.631308136299542,0.984259456080388,0.656878709272527,0.352951319780845
"30","33","33","01779794","0400000US33","NH","New Hampshire","00",23189413166,1026675248,0.865886056220755,0.115564423890138,0.932622455718478,0.847507352683198,0.81705803182834
"31","34","34","01779795","0400000US34","NJ","New Jersey","00",19047825980,3544860246,0.676138237065318,0.249241094239678,0.94941933471764,0.590078026811692,0.700178240477962
"32","35","35","00897535","0400000US35","NM","New Mexico","00",314196306401,728776523,0.14729176875947,0.0189126570341948,0.880559660295094,0.129392022245821,0.8616470032609
"33","36","36","01779796","0400000US36","NY","New York","00",122049149763,19246994695,0.695774551298139,0.142014642499612,0.951378843480583,0.577138314949016,0.80936420098097
"34","37","37","01027616","0400000US37","NC","North Carolina","00",125923656064,13466071395,0.158718052574014,0.0341175987145429,0.938038213929316,0.0890713288646746,0.903920615214773
"35","38","38","01779797","0400000US38","ND","North Dakota","00",178707534813,4403267548,0.120809388965966,0.0110065607536044,0.665925802436922,0.10665442488177,0.654919241683318
"36","39","39","01085497","0400000US39","OH","Ohio","00",105828882568,10268850702,0.392660333349244,0.029631281030812,0.920628013133866,0.335538123456899,0.890996732103054
"37","40","40","01102857","0400000US40","OK","Oklahoma","00",177662925723,3374587997,0.229778274674247,0.0292910269703783,0.834821771398139,0.192244967084863,0.80553074442776
"38","41","41","01155107","0400000US41","OR","Oregon","00",248606993270,6192386935,0.826373942631272,0.148005521104984,0.980387004102889,0.705931956766218,0.832381482997905
"39","42","42","01779798","0400000US42","PA","Pennsylvania","00",115884442321,3394589990,0.583676305720186,0.169505868938888,0.944461591620444,0.504591005691986,0.774955722681556
"40","44","44","01219835","0400000US44","RI","Rhode Island","00",2677779902,1323670487,0.795112748247331,0.318261530168217,0.924788972843082,0.780393171910272,0.606527442674866
"41","45","45","01779799","0400000US45","SC","South Carolina","00",77864918488,5075218778,0.209749655009171,0.0377492448077689,0.929036574627893,0.18173246653972,0.891287329820124
"42","46","46","01785534","0400000US46","SD","South Dakota","00",196346981786,3382720225,0.022167543664596,0.00833704279121532,0.760011985222541,0.0158391720130402,0.751674942431326
"43","47","47","01325873","0400000US47","TN","Tennessee","00",106802728188,2350123465,0.134172489540937,0.0202652861723853,0.900677861828704,0.103560264014461,0.880412575656319
"44","48","48","01779801","0400000US48","TX","Texas","00",676653171537,19006305260,0.239137306364749,0.0911987566979545,0.796168426557888,0.0370177082434529,0.704969669859934
"45","49","49","01455989","0400000US49","UT","Utah","00",212886221680,6998824394,0.202208676418284,0.0448476558665923,0.972876066978123,0.149964094056252,0.928028411111531
"46","50","50","01779802","0400000US50","VT","Vermont","00",23874175944,1030416650,0.879366116298717,0.0306742343289597,0.958506637454314,0.873159544214022,0.927832403125354
"47","51","51","01779803","0400000US51","VA","Virginia","00",102257717110,8528531774,0.519700693002903,0.0645029830278701,0.942354204683167,0.458324518561478,0.877851221655297
"48","53","53","01779804","0400000US53","WA","Washington","00",172112588220,12559278850,0.607388796276237,0.386598315973823,0.964722810151698,0.277301989182236,0.578124494177875
"49","54","54","01779805","0400000US54","WV","West Virginia","00",62266474513,489028543,0.321231331578862,0.0249331926475906,0.930549019887505,0.314515530174618,0.905615827239914
"50","55","55","01779806","0400000US55","WI","Wisconsin","00",140290039723,29344951758,0.165644628310933,0.0630980934680677,0.870073224039534,0.119927833501325,0.806975130571467
"51","56","56","01779807","0400000US56","WY","Wyoming","00",251458544898,1867670745,0.165506801067372,0.0481013097160766,0.867079458526305,0.156743986286751,0.818978148810228
"52","72","72","01779808","0400000US72","PR","Puerto Rico","00",8868896030,4922382562,0.997307854885429,0.997307854885429,0.997307854885429,0,0
